title; artist; popularity
Take It Easy - 2013 Remaster; Eagles; 48
Desperado - 2013 Remaster; Eagles; 57
One of These Nights - 2013 Remaster; Eagles; 38
The Chain - 2004 Remaster; Fleetwood Mac; 49
Don't Stop - 2004 Remaster; Fleetwood Mac; 43
Rhiannon; Fleetwood Mac; 83
Sir Duke; Stevie Wonder; 78
Isn't She Lovely; Stevie Wonder; 54
Higher Ground; Stevie Wonder; 60
Signed, Sealed, Delivered (I'm Yours); Stevie Wonder; 54
Rock with You - Single Version; Michael Jackson; 54
Off the Wall; Michael Jackson; 90
Boogie Wonderland (with The Emotions); Earth, Wind & Fire; 66
Fantasy; Earth, Wind & Fire; 59
Shining Star; Earth, Wind & Fire; 56
Hot Stuff; Donna Summer; 77
I Feel Love; Donna Summer; 66
Bad Girls; Donna Summer; 69
MacArthur Park - Single Version; Donna Summer; 24
One Way Or Another - Remastered 2001; Blondie; 76
Call Me; Blondie; 87
Sunday Girl - Remastered 2001; Blondie; 71
Macho Man; Village People; 70
In The Navy; Village People; 74
Good Times; CHIC; 75
Everybody Dance - 2018 Remaster; CHIC; 42
Play That Funky Music; Wild Cherry; 81
Jungleland; Bruce Springsteen; 75
Badlands; Bruce Springsteen; 74
American Pie; Don McLean; 79
Maggie May; Rod Stewart; 66
Da Ya Think I'm Sexy?; Rod Stewart; 74
Sailing; Rod Stewart; 82
Brown Sugar - Remastered 2009; The Rolling Stones; 81
Angie - Remastered 2009; The Rolling Stones; 85
Miss You - Remastered; The Rolling Stones; 80
Tumbling Dice; The Rolling Stones; 74
Beast Of Burden - Remastered 1994; The Rolling Stones; 81
Riders on the Storm; The Doors; 84
L.A. Woman; The Doors; 70
Love Her Madly; The Doors; 71
Baba O'Riley; The Who; 76
Won't Get Fooled Again - Original Album Version; The Who; 46
Who Do You Think You Are; Spice Girls; 80
Behind Blue Eyes - Remastered 2022; The Who; 80
Sultans Of Swing; Dire Straits; 93
Roxanne; The Police; 90
Message In A Bottle; The Police; 88
Walking On The Moon; The Police; 82
Boys Don't Cry; The Cure; 75
Just What I Needed; The Cars; 67
My Best Friend's Girl; The Cars; 56
Let's Go; The Cars; 49
Train in Vain (Stand by Me) - Remastered; The Clash; 75
Blitzkrieg Bop - 2016 Remaster; Ramones; 38
I Wanna Be Sedated; Ramones; 82
God Save The Queen; Sex Pistols; 84
Anarchy In The UK; Sex Pistols; 78
Lust For Life; Iggy Pop; 83
The Passenger; Iggy Pop; 86
Walk On the Wild Side; Lou Reed; 76
Psycho Killer; Talking Heads; 83
Heart of Gold; Neil Young; 82
Old Man; Neil Young; 82
Rockin' in the Free World; Neil Young; 37
A Horse with No Name; America; 74
Sister Golden Hair; America; 70
Ventura Highway; America; 72
Dust in the Wind; Kansas; 90
Carry on Wayward Son; Kansas; 89
More Than a Feeling; Boston; 87
Peace of Mind; Boston; 79
Don't Look Back; Boston; 61
Black Water; The Doobie Brothers; 72
Listen to the Music; The Doobie Brothers; 82
Long Train Runnin'; The Doobie Brothers; 64
What a Fool Believes; The Doobie Brothers; 84
My Sharona; The Knack; 83
Pop Muzik; M / Robin Scott; 56
Video Killed The Radio Star; The Buggles; 86
Brass in Pocket - 2018 Remaster; Pretenders; 31
I Was Made For Lovin' You; KISS; 78
Rock And Roll All Nite - 2025 Remaster; KISS; 47
Detroit Rock City; KISS; 72
Paranoid - 2009 Remaster; Black Sabbath; 53
Iron Man - 2009 Remaster; Black Sabbath; 44
War Pigs - 2009 Remaster; Black Sabbath; 59
Smoke On The Water - Remastered 2012; Deep Purple; 84
Highway Star - Remastered 2012; Deep Purple; 84
Child in Time - 1995 Remaster; Deep Purple; 31
Free Bird; Lynyrd Skynyrd; 84
Simple Man; Lynyrd Skynyrd; 82
Ramblin' Man; Allman Brothers Band; 61
Midnight Rider; Allman Brothers Band; 47
Tush (2006 Remaster); ZZ Top; 79
La Grange (2005 Remaster); ZZ Top; 87
Walk This Way; Aerosmith; 88
Dream On; Aerosmith; 81
Sweet Emotion; Aerosmith; 83
Barracuda; Heart; 87
Crazy On You; Heart; 79
Magic Man; Heart; 74
Because the Night; Patti Smith; 73
Rebel Rebel - 2016 Remaster; David Bowie; 38
Changes - 2015 Remaster; David Bowie; 43
Fame - 2016 Remaster; David Bowie; 30
Young Americans - 2016 Remaster; David Bowie; 44
Let's Get It On; Marvin Gaye; 68
Mercy Mercy Me (The Ecology); Marvin Gaye; 60
Sexual Healing; Marvin Gaye; 88
Superfly; Curtis Mayfield; 60
Move on Up - Single Edit; Curtis Mayfield; 41
Theme From Shaft - Remastered 2009; Isaac Hayes; 61
Just My Imagination (Running Away With Me); The Temptations; 61
Papa Was A Rollin' Stone - Single Version; The Temptations; 39
Midnight Train to Georgia; Gladys Knight & The Pips; 55
Killing Me Softly With His Song; Roberta Flack; 79
